episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
88,620;781;874;1059;1650,5,4671,4723,4721,7,53,0.0142969759181141,0.0169346239417791,620;1059;1650;781;874,UsIlChicago620;UsIlGalesburg1059;UsIlSpringfield1650;UsMoKirksville781;UsWiDodgeville874,0;52;94;22;30,2024-01-01 21:48:25,0.020730615081265443
89,1069;1071,2,1563,1966,1822,255,404,0.020706757903099,0.0222799740731716,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55,2024-01-01 21:00:06,0.020706757903099
90,730;757;1144;1382,4,2244,2244,2244,1,1,0.0157999470829963,0.0196060538291931,730;757;1382;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaSpokane1144,11;17;66;57,2024-01-01 21:07:08,0.020539931207895188
91,620;874,2,1794,2174,1836,68,381,0.0205221641808748,0.0239671133458614,620;874,UsIlChicago620;UsWiDodgeville874,0;30,2024-01-01 21:00:20,0.0205221641808748
92,973;1367;1425,3,1918,1918,1918,1,1,0.0177723858505487,0.0215563531965017,973;1425;1367,UsFlOrlando973;UsGaWhigham1425;UsMsGulfport1367,44;76;63,2024-01-01 21:01:42,0.020438243728131
93,792;1055,2,1236,1240,1238,5,5,0.0203756764531135,0.02453588321805,792;1055,UsVaHaymarket792;UsNjRedBank1055,24;50,2024-01-01 20:50:22,0.0203756764531135
94,792;859;1055;1364;1491,5,7618,7625,7622,8,8,0.0140450596809387,0.0207762420177459,792;1491;1055;1364;859,UsVaHaymarket792;UsDeMillsboro1491;UsNjRedBank1055;UsNyQueens1364;UsCtUnivconn859,24;82;50;62;28,2024-01-01 22:36:46,0.020365336537361115
95,1144;1382;1691,3,2851,3158,2857,10,308,0.0176022257655859,0.0215988419950008,1144;1691;1382,UsWaSpokane1144;UsWaRichland1691;UsWaSpokane1382,57;101;66,2024-01-01 21:17:21,0.020242559630423783
96,774;792,2,5013,5073,5021,10,61,0.0202384293079376,0.0267845727503299,774;792,UsNjTomsriver774;UsVaHaymarket792,20;24,2024-01-01 21:53:25,0.0202384293079376
97,620;1059,2,5433,5492,5462,45,60,0.0202361866831779,0.0234794579446315,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52,2024-01-01 22:00:46,0.0202361866831779
98,973;1661,2,4997,5464,5182,79,468,0.0201109610497951,0.0227567106485366,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 21:56:06,0.0201109610497951
99,749;778;874;1059;1355,5,6999,7001,7001,3,3,0.0138291586190462,0.0204238593578338,749;778;1059;874;1355,UsMoGape749;UsIlMatton778;UsIlGalesburg1059;UsWiDodgeville874;UsMiKingsford1355,16;21;52;30;59,2024-01-01 22:26:25,0.02005227999761699
100,853;1623,2,5869,6036,5869,5,168,0.019873559474945,0.0262898001819849,853;1623,UsSantaRosa853;UsCAKelseyville1623,27;89,2024-01-01 22:07:33,0.019873559474945
101,757;1144;1691,3,1341,1695,1695,7,355,0.0172395389527082,0.0298908315598964,757;1144;1691,UsMtMtu757;UsWaSpokane1144;UsWaRichland1691,17;57;101,2024-01-01 20:57:59,0.019825469795614427
102,973;1661,2,4542,4611,4545,23,70,0.0198091361671686,0.0204861164093017,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 21:45:29,0.0198091361671686
103,732;853,2,5526,6079,6079,33,554,0.0197870060801506,0.0302719175815582,732;853,UsCaSacramento732;UsSantaRosa853,12;27,2024-01-01 22:11:03,0.0197870060801506
104,620;781;1059,3,5168,5304,5297,16,137,0.017200356349349,0.0212577600032091,620;1059;781,UsIlChicago620;UsIlGalesburg1059;UsMoKirksville781,0;52;22,2024-01-01 21:58:01,0.019780409801751348
105,1069;1071;2009,3,931,1239,1238,79,309,0.0171781834214925,0.0300877504050731,1069;2009;1071,UsTnChattanoogaTVA1069;UsOhCleveland2009;UsTnKnoxville1071,54;104;55,2024-01-01 20:50:22,0.019754910934716374
106,620;1059,2,6619,6750,6638,11,132,0.0197272505611181,0.0263631083071231,620;1059,UsIlChicago620;UsIlGalesburg1059,0;52,2024-01-01 22:20:22,0.0197272505611181
107,620;874,2,3738,4075,4075,40,338,0.0197192449122667,0.029436882585287,620;874,UsIlChicago620;UsWiDodgeville874,0;30,2024-01-01 21:37:39,0.0197192449122667
108,1071;2009,2,3157,3276,3265,26,120,0.0196886211633682,0.0299285687506198,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104,2024-01-01 21:24:09,0.0196886211633682
109,984;1071,2,1520,1542,1520,2,23,0.0196544155478477,0.0299492292106151,984;1071,UsGaNorcross984;UsTnKnoxville1071,47;55,2024-01-01 20:55:04,0.0196544155478477
